featurecategory,feature
# 피부 타입,모든 피부 타입
피부 타입,잦은 여행자
# 피부 타입,중성 피부
# 피부 타입,복합성 피부
# 피부 타입,민감성 피부
# 피부 타입,건성 피부
피부 타입,추운 기후의 지성 피부
피부 타입,덥고 습한 날씨
피부 타입,자주 에어컨에 노출된 피부
피부 타입,메이크업을 한 피부
# 사용감,산뜻한
사용감,매끄러운
# 사용감,수분 공급
사용감,매트한 마무리
# 사용감,시원한
# 사용감,가벼운
사용감,생기있는
사용감,가벼운 마무리
# 사용감,진정된
사용감,탄력
사용감,유연
사용감,부드러운
사용감,상쾌한
사용감,유분기 없는
사용감,깔끔한
향,민트
# 향,허브
향,스파이시
# 향,시트러스
# 향,우드
# 향,코코넛
향,흙내음
향,스모키
# 향,플로럴
향,그린
